CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
09/30/14 09:53,884358.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-10-13,,B,N,M,18.0,False,False,Suffield,MAPLETON AVE,  ,  ,V,B,1.0,0,14-236,,False,N,False,False,V,10/13/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-10-13 03:38:00-04:00,03:37,r1,,,Moving Violation,2013
09/30/14 22:15,886451.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-10-19,,B,N,M,50.0,False,False,Suffield,34 MAIN ST,  ,  ,V,B,1.0,0,14-236,,False,N,False,False,V,10/19/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-10-19 02:00:00-04:00,01:59,r1,,,Moving Violation,2013
09/30/14 09:54,884360.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-04,,W,N,F,28.0,False,False,Suffield,MOUNTAIN RD,  ,  ,V,B,1.0,0,14-219,,False,N,False,False,V,11/ 4/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-04 06:40:00-05:00,06:40,r1,,,Speed Related,2013
10/ 3/14 13:09,888454.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-12,,W,N,M,21.0,True,True,Suffield,MOUNTAIN RD,  ,  ,E,B,1.0,0,14-96C,,False,N,False,False,V,11/12/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-12 20:16:00-05:00,20:16,r1,,,Defective Lights,2013
09/30/14 09:55,884362.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-18,,B,N,M,57.0,False,False,Suffield,SOUTH GRAND ST,  ,  ,V,B,1.0,0,14-218A,14-36,False,N,False,False,V,11/18/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-18 22:48:00-05:00,22:48,r1,,,Speed Related,2013
10/ 1/14 00:32,886575.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-21,,W,N,M,19.0,True,True,Suffield,BRIDGE ST,  ,  ,E,B,1.0,0,14-96C,,False,N,False,False,V,11/21/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-21 22:26:00-05:00,22:26,r1,,,Defective Lights,2013
09/30/14 09:56,884363.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-21,,W,N,M,26.0,True,True,Suffield,MAPLETON AVE,  ,  ,E,B,1.0,0,14-96C,,False,N,False,False,V,11/21/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-21 20:58:00-05:00,20:58,r1,,,Defective Lights,2013
09/30/14 22:16,886452.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-21,,W,N,F,57.0,True,True,Suffield,1014 MAPLETON AVE,  ,  ,E,B,1.0,0,14-96Y,,False,N,False,False,V,11/21/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-21 20:03:00-05:00,20:03,r1,,,Defective Lights,2013
09/30/14 22:17,886453.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-11-22,,W,N,F,63.0,True,True,Suffield,NORTH MAIN ST,  ,  ,E,B,1.0,0,14-96Y,,False,N,False,False,V,11/22/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-11-22 19:47:00-05:00,19:47,r1,,,Defective Lights,2013
09/30/14 09:57,884364.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-12-15,,W,N,M,29.0,False,False,Suffield,EAST (S) ST,  ,  ,I,B,1.0,0,22A-250(A),,False,N,False,False,V,12/15/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-12-15 17:56:00-05:00,17:56,r1,,,Other,2013
10/ 3/14 12:07,888357.0,CT0013900,Suffield,Racial Profile,355.0,,Citation ID,2013-12-22,,W,N,M,18.0,False,False,Suffield,NORTH ST,  ,  ,V,B,1.0,0,14-236,,False,N,False,False,V,12/22/13 00:00,Verbal Warning,,,False,1.0,CT0013900,,2013-12-22 01:04:00-05:00,01:03,r1,,,Moving Violation,2013
