CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
4/19/17 16:54,3169563.0,CT0016500,Windsor Locks,Racial Profile,232,17-32,Case No.,"Monday, January 2, 2017",January,B,N,F,45,True,False, Windsor Locks,Old County Road,  ,  ,V,G,1.0,0,14-2345,,False,N,False,False,W,1/2/17 22:36,Written Ticket,,,False,1.0,CT0011700,20170419165425000001,1/2/17 22:36,22:36:34,r4,,,Other,2017
4/19/17 16:54,3169562.0,CT0016500,Windsor Locks,Racial Profile,218,17-30,Case No.,"Monday, January 2, 2017",January,W,H,F,28,True,False, Windsor Locks,Main Street,  ,  ,V,G,1.0,0,14-96e,,False,N,False,False,V,1/2/17 18:53,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/2/17 18:53,18:53:34,r4,,,Defective Lights,2017
4/19/17 16:54,3169566.0,CT0016500,Windsor Locks,Racial Profile,228,17-53,Case No.,"Tuesday, January 3, 2017",January,W,N,M,28,True,True, Windsor Locks,West Street,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,1/3/17 10:14,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/3/17 10:14,10:14:45,r4,,,Stop Sign,2017
4/19/17 16:54,3169564.0,CT0016500,Windsor Locks,Racial Profile,218,17-35,Case No.,"Tuesday, January 3, 2017",January,B,N,M,27,True,False, Windsor Locks,Old County Road,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,I,1/3/17 00:40,Infraction Ticket,,,False,1.0,CT0011700,20170419165425000001,1/3/17 00:40,00:40:48,r4,,,Speed Related,2017
4/19/17 16:54,3169565.0,CT0016500,Windsor Locks,Racial Profile,218,17-39,Case No.,"Tuesday, January 3, 2017",January,W,N,F,61,True,False, Windsor Locks,20 EAST,  ,  ,V,G,1.0,0,14-96aa,,False,N,False,False,V,1/3/17 01:47,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/3/17 01:47,01:47:13,r4,,,Defective Lights,2017
4/19/17 16:54,3169567.0,CT0016500,Windsor Locks,Racial Profile,222,17-69,Case No.,"Tuesday, January 3, 2017",January,B,N,F,28,True,False, Windsor Locks,Ella Grasso Turnpike,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,1/3/17 19:21,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/3/17 19:21,19:21:29,r4,,,Traffic Control Signal,2017
4/19/17 16:54,3169570.0,CT0016500,Windsor Locks,Racial Profile,222,17-102,Case No.,"Wednesday, January 4, 2017",January,B,N,M,30,True,False, Windsor Locks,South Main Street,  ,  ,V,G,1.0,0,14-236,,False,N,False,False,V,1/4/17 20:18,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/4/17 20:18,20:18:44,r4,,,Moving Violation,2017
4/19/17 16:54,3169568.0,CT0016500,Windsor Locks,Racial Profile,228,17-90,Case No.,"Wednesday, January 4, 2017",January,W,N,F,50,True,True, Windsor Locks,West Street,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,1/4/17 13:13,Written Ticket,,,False,1.0,CT0011700,20170419165425000001,1/4/17 13:13,13:13:24,r4,,,Stop Sign,2017
4/19/17 16:54,3169569.0,CT0016500,Windsor Locks,Racial Profile,60,17-101,Case No.,"Wednesday, January 4, 2017",January,B,N,F,30,True,False, Windsor Locks,Schoephoester Road,  ,  ,E,G,2.0,0,1496,,False,N,False,False,M,1/4/17 20:16,Misdemeanor Summons,,,False,1.0,CT0011700,20170419165425000001,1/4/17 20:16,20:16:36,r4,14147,,Defective Lights,2017
4/19/17 16:54,3169571.0,CT0016500,Windsor Locks,Racial Profile,228,17-119,Case No.,"Thursday, January 5, 2017",January,B,N,M,46,True,False, Windsor Locks,Old County Road,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,1/5/17 10:34,Written Ticket,,,False,1.0,CT0011700,20170419165425000001,1/5/17 10:34,10:34:11,r4,,,Speed Related,2017
4/19/17 16:54,3169572.0,CT0016500,Windsor Locks,Racial Profile,222,17-165,Case No.,"Friday, January 6, 2017",January,W,H,M,45,True,False, Windsor Locks,Volunteer Drive,  ,  ,V,G,1.0,0,14-236,,False,N,False,False,V,1/6/17 20:18,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/6/17 20:18,20:18:43,r4,,,Moving Violation,2017
4/19/17 16:54,3169573.0,CT0016500,Windsor Locks,Racial Profile,222,17-167,Case No.,"Friday, January 6, 2017",January,W,N,F,47,True,True, Windsor Locks,Elm Street,  ,  ,V,G,1.0,0,14-12(a),,False,N,False,False,V,1/6/17 20:31,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/6/17 20:31,20:31:33,r4,,,Registration,2017
4/19/17 16:54,3169574.0,CT0016500,Windsor Locks,Racial Profile,212,17-226,Case No.,"Monday, January 9, 2017",January,B,N,M,25,True,False, Windsor Locks,Ledyard Road,  ,  ,V,G,1.0,0,14-236,,False,N,False,False,V,1/9/17 02:09,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/9/17 02:09,02:09:19,r4,,,Moving Violation,2017
4/19/17 16:54,3169576.0,CT0016500,Windsor Locks,Racial Profile,228,17-237,Case No.,"Monday, January 9, 2017",January,W,N,F,83,True,True, Windsor Locks,South Center Street,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,1/9/17 10:43,Verbal Warning,,,False,1.0,CT0011700,20170419165425000001,1/9/17 10:43,10:43:00,r4,,,Stop Sign,2017
