CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
2026-02-13 16:36:00,1.0,CT0006400,Hartford,Racial Profile,2004,TS25-00003,Incident ID,2025-01-01 00:00:00,January,W,N,M,50,True,False,Hartford,34 WETHERSFIELD AV,,,V,G,1.0,0,14-299 TRAFFIC CONTROL SIGNALS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/01/2025 23:01,23:01:00,2025,,,Traffic Control Signal,2025
2026-02-13 16:36:00,2.0,CT0006400,Hartford,Racial Profile,1825,TS25-00012,Incident ID,2025-01-01 00:00:00,January,B,N,F,52,True,True,Hartford,132 CLEVELAND AV,,,V,G,1.0,0,14-299 TRAFFIC CONTROL SIGNALS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/01/2025 11:01,11:01:49.497000,2025,,,Traffic Control Signal,2025
2026-02-13 16:35:59.995000,292.0,CT0006400,Hartford,Racial Profile,2004,TS25-00303,Incident ID,2025-01-01 00:00:00,January,W,N,M,45,True,False,Hartford,34 WETHERSFIELD AV,,,V,G,1.0,0,14-301 FAILURE TO OBEY STOP SIGN,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/01/2025 22:50,22:50:30.410000,2025,,,Stop Sign,2025
2026-02-13 16:35:59.995000,544.0,CT0006400,Hartford,Racial Profile,1683,TS25-00639,Incident ID,2025-01-01 00:00:00,January,B,N,F,24,True,False,Hartford,505 WETHERSFIELD AV,,,V,G,2.0,1,14-12(a) FAILURE TO RENEW REGISTRATION,,False,N,False,False,M,,,,,False,1.0,CT0006400,ManualUpload,01/01/2025 12:05,12:05:51.510000,2025,14-213b ILL OPN MV WO MINIMUM INSURNCE,,Registration,2025
2026-02-13 16:36:00,3.0,CT0006400,Hartford,Racial Profile,1860,TS25-00013,Incident ID,2025-01-02 00:00:00,January,W,N,M,20,True,False,Hartford,19 JEFFERSON ST,,,V,G,1.0,0,14-299 TRAFFIC CONTROL SIGNALS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/02/2025 18:28,18:28:34.433000,2025,,,Traffic Control Signal,2025
2026-02-13 16:36:00,4.0,CT0006400,Hartford,Racial Profile,1860,TS25-00014,Incident ID,2025-01-02 00:00:00,January,B,N,M,25,True,True,Hartford,1303 ALBANY AV,,,E,G,1.0,0,14-18(a) FAIL TO DISPLAY PLATES/INSERTS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/02/2025 19:28,19:28:49.117000,2025,,,Display of Plates,2025
2026-02-13 16:35:59.995000,5.0,CT0006400,Hartford,Racial Profile,1860,TS25-00015,Incident ID,2025-01-02 00:00:00,January,W,H,M,19,True,True,Hartford,701 ALBANY AV,,,V,G,1.0,0,14-232(1) IMP PASSING-UNSAFE DISTANCE,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/02/2025 19:46,19:46:47.957000,2025,,,Other,2025
2026-02-13 16:35:59.995000,8.0,CT0006400,Hartford,Racial Profile,1967,TS25-00018,Incident ID,2025-01-02 00:00:00,January,W,N,M,52,True,False,Hartford,464 WETHERSFIELD AV,,,V,G,1.0,0,14-236 FLR TO DRIVE IN PROPER LANE,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/02/2025 17:42,17:42:49.030000,2025,,,Moving Violation,2025
2026-02-13 16:35:59.995000,6.0,CT0006400,Hartford,Racial Profile,1454,TS25-00016,Incident ID,2025-01-03 00:00:00,January,B,N,M,35,True,False,Hartford,MAIN ST / PRATT ST,,,E,G,1.0,0,14-299 TRAFFIC CONTROL SIGNALS,,False,N,False,False,M,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 12:26,12:26:22.027000,2025,,,Traffic Control Signal,2025
2026-02-13 16:35:59.995000,7.0,CT0006400,Hartford,Racial Profile,1712,TS25-00017,Incident ID,2025-01-03 00:00:00,January,W,N,F,26,True,True,Hartford,GRANDVIEW TER / HARWICH ST,,,V,G,1.0,0,14-301 FAILURE TO OBEY STOP SIGN,,False,N,False,False,I,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 14:50,14:50:00.667000,2025,,,Stop Sign,2025
2026-02-13 16:35:59.995000,9.0,CT0006400,Hartford,Racial Profile,1976,TS25-00019,Incident ID,2025-01-03 00:00:00,January,B,N,M,39,True,True,Hartford,717 GARDEN ST,,,V,G,1.0,0,14-215(a) ILL OPN MV UNDER SUSPENSION,,False,N,False,False,M,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 16:00,16:00:49.557000,2025,14-101 FAILURE TO USE TURN SIGNAL,,Administrative Offense,2025
2026-02-13 16:35:59.995000,10.0,CT0006400,Hartford,Racial Profile,1860,TS25-00020,Incident ID,2025-01-03 00:00:00,January,B,N,M,46,True,True,Hartford,104 ENFIELD ST,,,E,G,1.0,0,14-18(a) FAIL TO DISPLAY PLATES/INSERTS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 15:46,15:46:03.410000,2025,,,Display of Plates,2025
2026-02-13 16:35:59.995000,11.0,CT0006400,Hartford,Racial Profile,1860,TS25-00021,Incident ID,2025-01-03 00:00:00,January,B,N,M,52,True,False,Hartford,ENFIELD ST / CAPEN ST,,,E,G,1.0,0,14-18(a) FAIL TO DISPLAY PLATES/INSERTS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 15:53,15:53:38.960000,2025,,,Display of Plates,2025
2026-02-13 16:35:59.995000,12.0,CT0006400,Hartford,Racial Profile,1860,TS25-00022,Incident ID,2025-01-03 00:00:00,January,B,N,F,26,True,True,Hartford,GARDEN ST / CAPEN ST,,,V,G,1.0,0,14-301 FAILURE TO OBEY STOP SIGN,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 16:26,16:26:17.983000,2025,,,Stop Sign,2025
2026-02-13 16:35:59.995000,13.0,CT0006400,Hartford,Racial Profile,1860,TS25-00023,Incident ID,2025-01-03 00:00:00,January,W,H,M,22,True,True,Hartford,ALBANY AV / HIGH ST,,,E,G,1.0,0,14-18(c) FLR TO KEEP PLATES READABLE,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 16:36,16:36:24.223000,2025,,,Display of Plates,2025
2026-02-13 16:35:59.995000,14.0,CT0006400,Hartford,Racial Profile,1860,TS25-00024,Incident ID,2025-01-03 00:00:00,January,B,N,M,28,True,False,Hartford,549 BLUE HILLS AV,,,V,G,1.0,0,14-242 IMPROPER TURN/STOP-NO SIGNAL,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 16:54,16:54:37.090000,2025,,,Other,2025
2026-02-13 16:35:59.995000,15.0,CT0006400,Hartford,Racial Profile,1976,TS25-00025,Incident ID,2025-01-03 00:00:00,January,B,N,M,32,True,False,Hartford,CAPEN ST / MARTIN ST,,,E,G,1.0,0,14-101 FAILURE TO USE TURN SIGNAL,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 16:29,16:29:29.203000,2025,,,Moving Violation,2025
2026-02-13 16:35:59.995000,16.0,CT0006400,Hartford,Racial Profile,1867,TS25-00026,Incident ID,2025-01-03 00:00:00,January,W,H,F,78,True,True,Hartford,9 DOROTHY ST,,,V,G,1.0,0,14-239(a) DRIVE WRONG WAY-ONE WAY STREET,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 19:56,19:56:26.553000,2025,,,Other,2025
2026-02-13 16:35:59.995000,17.0,CT0006400,Hartford,Racial Profile,1860,TS25-00027,Incident ID,2025-01-03 00:00:00,January,W,H,M,43,True,True,Hartford,25 ADELAIDE ST,,,E,G,1.0,0,14-99f(b) WINDSHIELD OBSTRUCTING VIEW,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 19:24,19:24:38.427000,2025,,,Other,2025
2026-02-13 16:35:59.995000,18.0,CT0006400,Hartford,Racial Profile,1860,TS25-00028,Incident ID,2025-01-03 00:00:00,January,B,N,M,43,True,True,Hartford,702 MAPLE AV,,,E,G,1.0,0,14-18(a) FAIL TO DISPLAY PLATES/INSERTS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 19:33,19:33:10.553000,2025,,,Display of Plates,2025
2026-02-13 16:35:59.995000,19.0,CT0006400,Hartford,Racial Profile,1860,TS25-00029,Incident ID,2025-01-03 00:00:00,January,W,H,M,21,True,True,Hartford,179 SISSON AV,,,V,G,1.0,0,14-236 FLR TO DRIVE IN PROPER LANE,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 21:16,21:16:05.410000,2025,,,Moving Violation,2025
2026-02-13 16:35:59.995000,20.0,CT0006400,Hartford,Racial Profile,1972,TS25-00030,Incident ID,2025-01-03 00:00:00,January,W,H,F,33,True,True,Hartford,MEADOW ST / WETHERSFIELD AV,,,E,G,1.0,0,14-18(a) FAIL TO DISPLAY PLATES/INSERTS,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 19:22,19:22:54.270000,2025,,,Display of Plates,2025
2026-02-13 16:35:59.995000,21.0,CT0006400,Hartford,Racial Profile,1963,TS25-00031,Incident ID,2025-01-03 00:00:00,January,W,H,M,25,True,True,Hartford,FARMINGTON AV / GILLETT ST,,,V,G,1.0,0,14-236 FLR TO DRIVE IN PROPER LANE,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 21:19,21:19:54.587000,2025,,,Moving Violation,2025
2026-02-13 16:35:59.995000,22.0,CT0006400,Hartford,Racial Profile,1976,TS25-00032,Incident ID,2025-01-03 00:00:00,January,W,H,M,25,True,False,Hartford,41 NILES ST,,,V,G,2.0,0,53a-103 BURGLARY 3RD DEG,,False,N,False,True,U,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 21:33,21:33:18.607000,2025,14-301 FAILURE TO OBEY STOP SIGN,,Other,2025
2026-02-13 16:35:59.995000,23.0,CT0006400,Hartford,Racial Profile,1860,TS25-00033,Incident ID,2025-01-03 00:00:00,January,W,H,M,21,True,True,Hartford,21 SISSON AV,,,V,G,1.0,0,14-236 FLR TO DRIVE IN PROPER LANE,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 21:07,21:07:46.207000,2025,,,Moving Violation,2025
2026-02-13 16:35:59.995000,24.0,CT0006400,Hartford,Racial Profile,1963,TS25-00034,Incident ID,2025-01-03 00:00:00,January,W,H,M,26,True,True,Hartford,130 STONINGTON ST,,,V,G,1.0,0,14-242 IMPROPER TURN/STOP-NO SIGNAL,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 19:09,19:09:14.997000,2025,,,Other,2025
2026-02-13 16:35:59.995000,25.0,CT0006400,Hartford,Racial Profile,1994,TS25-00035,Incident ID,2025-01-03 00:00:00,January,B,N,F,57,True,True,Hartford,MAIN ST / WINDSOR ST,,,I,G,1.0,0,,,False,N,False,False,N,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 17:46,17:46:23.423000,2025,,,Other,2025
2026-02-13 16:35:59.995000,33.0,CT0006400,Hartford,Racial Profile,1790,TS25-00043,Incident ID,2025-01-03 00:00:00,January,W,H,M,50,True,True,Hartford,22 ELLIOTT ST,,,E,G,2.0,0,14-36(a) OPERATE MV WITHOUT LICENSE,,False,N,False,False,M,,,,,False,1.0,CT0006400,ManualUpload,01/03/2025 18:18,18:18:18.550000,2025,14-12(a)* OPERATE/TOW UNREGISTERED MV,,Unlicensed Operation,2025
2026-02-13 16:35:59.995000,26.0,CT0006400,Hartford,Racial Profile,1972,TS25-00036,Incident ID,2025-01-04 00:00:00,January,B,N,M,49,True,True,Hartford,VINE ST / GREENFIELD ST,,,V,G,1.0,0,14-301 FAILURE TO OBEY STOP SIGN,,False,N,False,False,V,,,,,False,1.0,CT0006400,ManualUpload,01/04/2025 16:51,16:51:26.603000,2025,,,Stop Sign,2025
