CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
2025-02-16 19:27:42.813000,7222169.0,CT0012800,Simsbury,Racial Profile,1087,2500000045,Incident ID,2025-01-01 00:00:00,January,B,N,F,16,True,True,SIMSBURY,Hopmeadow Street,  ,  ,E,G,1.0,0,14-96a(a),,False,N,False,False,V,,,,,False,1.0,CT0012800,133842256568480556,2025-01-01 20:53:51.120000,20:53:51.120000,2025,14-36(a),,Defective Lights,2025
2025-02-16 19:27:42.810000,7222168.0,CT0012800,Simsbury,Racial Profile,1087,2500000044,Incident ID,2025-01-01 00:00:00,January,W,N,M,17,True,False,SIMSBURY,Hopmeadow Street,  ,  ,E,G,1.0,0,14-96c,,False,N,False,False,V,,,,,False,1.0,CT0012800,133842256568480556,2025-01-01 20:45:52.937000,20:45:52.937000,2025,,,Defective Lights,2025
2025-02-16 19:27:42.817000,7222171.0,CT0012800,Simsbury,Racial Profile,1087,2500000051,Incident ID,2025-01-01 00:00:00,January,W,N,F,18,True,False,SIMSBURY,West Street,  ,  ,E,G,1.0,0,14-96u,,False,N,False,False,V,,,,,False,1.0,CT0012800,133842256568480556,2025-01-01 22:00:31.530000,22:00:31.530000,2025,,,Defective Lights,2025
2025-02-16 19:27:42.813000,7222170.0,CT0012800,Simsbury,Racial Profile,1087,2500000050,Incident ID,2025-01-01 00:00:00,January,W,N,M,43,True,False,SIMSBURY,Hopmeadow Street/Tariffville Rd,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,CT0012800,133842256568480556,2025-01-01 21:51:59.973000,21:51:59.973000,2025,,,Traffic Control Signal,2025
2025-02-16 19:27:43.470000,7222384.0,CT0012800,Simsbury,Racial Profile,1128,2500000016,Incident ID,2025-01-01 00:00:00,January,W,N,M,42,False,False,SIMSBURY,Tarrifville Road at Hopmeadow Street,  ,  ,V,G,1.0,0,14-299 (b)(3),,False,N,False,False,V,,,,,False,1.0,CT0012800,133842256568480556,2025-01-01 08:12:57.110000,08:12:57.110000,2025,,,Traffic Control Signal,2025
2025-02-16 19:27:42.750000,7222150.0,CT0012800,Simsbury,Racial Profile,1086,2500000152,Incident ID,2025-01-02 00:00:00,January,W,N,M,20,True,True,SIMSBURY,IRON HORSE BLVD 00000 ,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0012800,133842256568480556,2025-01-02 17:04:28.103000,17:04:28.103000,2025,,,Stop Sign,2025
2025-02-16 19:27:43.260000,7222317.0,CT0012800,Simsbury,Racial Profile,1124,2500000126,Incident ID,2025-01-02 00:00:00,January,B,N,M,29,True,False,SIMSBURY,"DEER PARK RD/ CLOVER LN (SIMSBURY, T128)",  ,  ,V,G,1.0,0,14-301,,False,N,False,False,I,,,,,False,1.0,CT0012800,133842256568480556,2025-01-02 09:51:06.253000,09:51:06.253000,2025,,,Stop Sign,2025
2025-02-16 19:27:43.297000,7222330.0,CT0012800,Simsbury,Racial Profile,1125,2500000132,Incident ID,2025-01-02 00:00:00,January,W,N,F,36,True,True,WEST SIMSBURY,WESTLEDGE RD 00036 ,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0012800,133842256568480556,2025-01-02 11:09:53.447000,11:09:53.447000,2025,,,Speed Related,2025
2025-02-16 19:27:43.367000,7222353.0,CT0012800,Simsbury,Racial Profile,1126,2500000156,Incident ID,2025-01-02 00:00:00,January,W,N,F,48,True,True,SIMSBURY,Hoskins Road,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0012800,133842256568480556,2025-01-02 17:31:44.630000,17:31:44.630000,2025,,,Speed Related,2025
2025-02-16 19:27:43.257000,7222316.0,CT0012800,Simsbury,Racial Profile,1124,2500000120,Incident ID,2025-01-02 00:00:00,January,W,N,M,54,True,False,SIMSBURY,"HOPMEADOW ST/STRATTON BROOK RD (SIMSBURY, T128)",  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,I,,,,,False,1.0,CT0012800,133842256568480556,2025-01-02 08:33:52.600000,08:33:52.600000,2025,14-105(a),,Speed Related,2025
