CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year,ReasonforStop
2/15/24 12:04,6787983.0,CT0004400,East Haven,Racial Profile,100116,2400001672,Incident ID,"Friday, January 19, 2024",January,B,N,M,48,True,False,EAST HAVEN,north,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,,,,,False,1.0,CT0004400,133524902388948768,1/19/24 11:46,11:46:12 AM,2024,,,,2024,Traffic Control Signal
7/15/24 12:03,6951488.0,CT0004400,East Haven,Racial Profile,100116,2400014553,Incident ID,"Thursday, June 27, 2024",June,W,N,M,59,True,False,GUILFORD,"00001 GUILFORD TOWN  (GUILFORD, T044)",  ,  ,V,B,1.0,0,14-12(a),,False,N,False,False,I,,,,,False,1.0,CT0004400,133655329884829559,6/27/24 8:59,8:59:20 AM,2024,,,,2024,Registration
7/15/24 12:03,6951490.0,CT0004400,East Haven,Racial Profile,100116,2400014559,Incident ID,"Thursday, June 27, 2024",June,W,N,F,43,True,False,GUILFORD,rt1,  ,  ,V,G,1.0,0,sealt and cell,,False,N,False,False,V,,,,,False,1.0,CT0004400,133655329884829559,6/27/24 9:31,9:31:47 AM,2024,,,,2024,Other
8/15/24 12:03,7003765.0,CT0004400,East Haven,Racial Profile,100116,2400015093,Incident ID,"Wednesday, July 3, 2024",July,W,N,M,56,True,False,NORTH BRANFORD,rt22,  ,  ,V,B,1.0,0,134-12,,False,N,False,False,V,,,,,False,1.0,CT0004400,133682113953198093,7/3/24 13:34,1:34:42 PM,2024,,,,2024,Other
8/15/24 12:03,7003766.0,CT0004400,East Haven,Racial Profile,100116,2400015095,Incident ID,"Wednesday, July 3, 2024",July,W,N,M,54,True,False,NORTH BRANFORD,rt22,  ,  ,V,B,1.0,0,14-12,,False,N,False,False,V,,,,,False,1.0,CT0004400,133682113953198093,7/3/24 13:37,1:37:30 PM,2024,,,,2024,Registration
8/15/24 12:03,7003771.0,CT0004400,East Haven,Racial Profile,100116,2400016516,Incident ID,"Friday, July 19, 2024",July,B,N,M,50,True,False,NORTH HAVEN,"00000 STATE ST (NORTH HAVEN, T101)",  ,  ,V,B,1.0,0,14-12(a),,False,N,False,False,I,,,,,False,1.0,CT0004400,133682113953198093,7/19/24 9:39,9:39:56 AM,2024,,,,2024,Registration
8/15/24 12:03,7003772.0,CT0004400,East Haven,Racial Profile,100116,2400016520,Incident ID,"Friday, July 19, 2024",July,B,N,F,46,True,False,NORTH HAVEN,rt22,  ,  ,V,B,1.0,0,14-215,,False,N,False,False,V,,,,,False,1.0,CT0004400,133682113953198093,7/19/24 10:22,10:22:12 AM,2024,,,,2024,Administrative Offense
8/15/24 12:03,7003774.0,CT0004400,East Haven,Racial Profile,100116,2400016546,Incident ID,"Friday, July 19, 2024",July,B,N,M,27,True,False,NORTH HAVEN,"00001 NORTH HAVEN CITY (NORTH HAVEN, T044)",  ,  ,V,B,1.0,1,14-12(a)*,,False,N,False,False,I,,,,,False,1.0,CT0004400,133682113953198093,7/19/24 13:47,1:47:47 PM,2024,,,,2024,Registration
8/15/24 12:03,7003775.0,CT0004400,East Haven,Racial Profile,100116,2400016548,Incident ID,"Friday, July 19, 2024",July,B,N,F,30,True,False,NORTH HAVEN,universal,  ,  ,V,B,2.0,1,14-213,,False,N,False,False,V,,,,,False,1.0,CT0004400,133682113953198093,7/19/24 13:58,1:58:55 PM,2024,,,,2024,Administrative Offense
8/15/24 12:03,7003776.0,CT0004400,East Haven,Racial Profile,100116,2400017601,Incident ID,"Wednesday, July 31, 2024",July,B,N,F,28,True,False,BRANFORD,walmart,  ,  ,V,B,1.0,0,14-215,,False,N,False,False,V,,,,,False,1.0,CT0004400,133682113953198093,7/31/24 10:02,10:02:24 AM,2024,,,,2024,Administrative Offense
