CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year,Reason for Stop
2025-02-15 16:50:11.593000,7217621.0,CT0004200,East Hampton,Racial Profile,1,2500000160,Incident ID,2025-01-02 00:00:00,January,B,N,M,30,True,False,EAST HAMPTON,00030 MIDDLETOWN AVE,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 20:59:56.450000,20:59:56.450000,2025,,,,2025,Speed Related
2025-02-15 16:50:11.597000,7217622.0,CT0004200,East Hampton,Racial Profile,1,2500000161,Incident ID,2025-01-02 00:00:00,January,W,N,F,46,True,True,EAST HAMPTON,00062 W HIGH ST,  ,  ,V,G,1.0,0,14-96a(a),,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 21:09:34.920000,21:09:34.920000,2025,,,,2025,Defective Lights
2025-02-15 16:50:12.693000,7217654.0,CT0004200,East Hampton,Racial Profile,1000213,2500000100,Incident ID,2025-01-02 00:00:00,January,W,N,F,54,True,False,EAST HAMPTON, MAPLE ST/BARTON HILL RD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 06:57:27.830000,06:57:27.830000,2025,,,,2025,Speed Related
2025-02-15 16:50:11.590000,7217620.0,CT0004200,East Hampton,Racial Profile,1,2500000158,Incident ID,2025-01-02 00:00:00,January,W,N,M,65,True,False,EAST HAMPTON,00080 MIDDLETOWN AVE,  ,  ,V,G,1.0,0,14-12(a),,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 20:47:13.597000,20:47:13.597000,2025,,,,2025,Registration
2025-02-15 16:50:12.660000,7217646.0,CT0004200,East Hampton,Racial Profile,18,2500000101,Incident ID,2025-01-02 00:00:00,January,I,N,F,35,True,True,EAST HAMPTON,lakeview st,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 07:28:26.187000,07:28:26.187000,2025,,,,2025,Speed Related
2025-02-15 16:50:12.683000,7217653.0,CT0004200,East Hampton,Racial Profile,1000213,2500000098,Incident ID,2025-01-02 00:00:00,January,W,N,M,22,True,True,EAST HAMPTON,00213 CLARK HILL RD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 05:59:35.020000,05:59:35.020000,2025,,,,2025,Speed Related
2025-02-15 16:50:11.587000,7217619.0,CT0004200,East Hampton,Racial Profile,1,2500000147,Incident ID,2025-01-02 00:00:00,January,W,N,M,38,True,True,EAST HAMPTON, MAIN ST/SUMMIT ST,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 17:13:42.320000,17:13:42.320000,2025,,,,2025,Stop Sign
2025-02-15 16:50:12.780000,7217683.0,CT0004200,East Hampton,Racial Profile,1000258,2500000118,Incident ID,2025-01-02 00:00:00,January,W,N,M,70,True,False,EAST HAMPTON,116 Middle Haddam Road,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0005400,133841298050970814,2025-01-02 10:30:43.593000,10:30:43.593000,2025,14-218a,,,2025,Speed Related
2025-02-15 16:50:12.697000,7217655.0,CT0004200,East Hampton,Racial Profile,1000213,2500000202,Incident ID,2025-01-03 00:00:00,January,W,N,M,19,True,True,EAST HAMPTON,00054 E HIGH ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0005400,133841298050970814,2025-01-03 05:57:26.527000,05:57:26.527000,2025,,,,2025,Speed Related
2025-02-15 16:50:12.707000,7217657.0,CT0004200,East Hampton,Racial Profile,1000213,2500000204,Incident ID,2025-01-03 00:00:00,January,W,N,F,37,False,False,EAST HAMPTON,East High Street,  ,  ,E,G,1.0,0,14-18(a),,False,N,False,False,V,,,,,False,1.0,CT0005400,133841298050970814,2025-01-03 07:16:39.707000,07:16:39.707000,2025,,,,2025,Display of Plates
