CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
3/15/23 9:43,6403930.0,CT0003500,Darien,Racial Profile,82,2023-000311,CAD Identifier,"Sunday, January 8, 2023",January,W,N,M,47,True,False,DARIEN,POST RD // LEDGE RD,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,1/8/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2303150944012729B,1/8/23 7:26,7:26:16 AM,2023,,,Traffic Control Signal,2023
3/12/24 9:16,6816059.0,CT0003500,Darien,Racial Profile,82,2023-001787,CAD Identifier,"Wednesday, February 8, 2023",February,W,N,M,85,True,False,DARIEN,POST RD // CROSS ST,  ,  ,V,G,1.0,0,14-218A,,False,N,False,False,W,2/8/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2403120916377208B,2/8/23 12:29,12:29:54 PM,2023,,,Speed Related,2023
4/12/23 13:30,6415269.0,CT0003500,Darien,Racial Profile,82,2023-002729,CAD Identifier,"Wednesday, March 1, 2023",March,W,H,F,65,True,False,DARIEN,POST RD // LEROY AVE,  ,  ,E,G,1.0,0,14-99F,,False,N,False,False,V,3/1/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2304121330039870B,3/1/23 9:56,9:56:40 AM,2023,,,Window Tint,2023
4/12/23 13:30,6415322.0,CT0003500,Darien,Racial Profile,82,2023-003045,CAD Identifier,"Tuesday, March 7, 2023",March,W,H,M,32,True,False,DARIEN,POST RD // SEDGWICK AVE,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,V,3/7/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2304121330573637B,3/7/23 17:18,5:18:35 PM,2023,,,Traffic Control Signal,2023
4/12/23 13:30,6415327.0,CT0003500,Darien,Racial Profile,82,2023-003073,CAD Identifier,"Wednesday, March 8, 2023",March,B,N,F,27,True,False,DARIEN,POST RD // THORNDAL CIR,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,3/8/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2304121331023904B,3/8/23 8:01,8:01:48 AM,2023,,,Speed Related,2023
4/12/23 13:31,6415330.0,CT0003500,Darien,Racial Profile,82,2023-003093,CAD Identifier,"Wednesday, March 8, 2023",March,W,N,F,38,True,False,DARIEN,POST RD // NEARWATER LN,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,3/8/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2304121331061682B,3/8/23 13:45,1:45:18 PM,2023,,,Speed Related,2023
4/12/23 13:31,6415381.0,CT0003500,Darien,Racial Profile,82,2023-003293,CAD Identifier,"Sunday, March 12, 2023",March,W,N,M,21,True,False,DARIEN,POST RD // ENT 13,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,I,3/12/23 0:00,INFRACTION TICKET (I),,,False,1.0,CT0003500,2304121331576106B,3/12/23 10:01,10:01:53 AM,2023,,,Speed Related,2023
4/12/23 13:32,6415387.0,CT0003500,Darien,Racial Profile,82,2023-003314,CAD Identifier,"Sunday, March 12, 2023",March,B,N,M,50,True,False,DARIEN,NOROTON AVE // WEST AVE,  ,  ,E,G,1.0,0,14-96c,,False,N,False,False,V,3/12/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2304121332037418B,3/12/23 23:41,11:41:31 PM,2023,,,Defective Lights,2023
4/12/23 13:32,6415388.0,CT0003500,Darien,Racial Profile,82,2023-003318,CAD Identifier,"Monday, March 13, 2023",March,W,H,M,27,True,False,DARIEN,NOROTON AVE // WEST AVE,  ,  ,E,G,1.0,0,14-96c,,False,N,False,False,V,3/13/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2304121332047225B,3/13/23 1:01,1:01:25 AM,2023,,,Defective Lights,2023
4/12/23 13:32,6415420.0,CT0003500,Darien,Racial Profile,82,2023-003545,CAD Identifier,"Friday, March 17, 2023",March,W,N,M,22,True,False,DARIEN,POST RD // NEARWATER LN,  ,  ,V,G,1.0,0,14-218A,,False,N,False,False,V,3/17/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2304121332365704B,3/17/23 18:12,6:12:23 PM,2023,NO,,Speed Related,2023
4/12/23 13:33,6415490.0,CT0003500,Darien,Racial Profile,82,2023-003885,CAD Identifier,"Friday, March 24, 2023",March,W,H,M,30,True,False,DARIEN,POST RD // BIRCH RD,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,3/24/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2304121333466992B,3/24/23 8:52,8:52:48 AM,2023,,,Speed Related,2023
6/7/23 15:41,6527425.0,CT0003500,Darien,Racial Profile,82,2023-004585,CAD Identifier,"Saturday, April 8, 2023",April,W,N,M,88,True,True,DARIEN,HEIGHTS RD // EDGERTON ST,  ,  ,V,G,1.0,0,14-230,,False,N,False,False,V,4/8/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2306071541072785B,4/8/23 21:01,9:01:35 PM,2023,,,Moving Violation,2023
6/7/23 15:41,6527449.0,CT0003500,Darien,Racial Profile,82,2023-004763,CAD Identifier,"Wednesday, April 12, 2023",April,W,H,M,59,True,False,DARIEN,POST RD // THORNDAL CIR,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,4/12/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2306071541316196B,4/12/23 13:59,1:59:41 PM,2023,,,Speed Related,2023
6/7/23 15:43,6527537.0,CT0003500,Darien,Racial Profile,82,2023-005305,CAD Identifier,"Monday, April 24, 2023",April,B,H,M,53,True,True,DARIEN,WEST AVE // RIDGELEY ST,  ,  ,V,G,1.0,0,14-100AC1,,False,N,False,False,V,4/24/23 0:00,VERBAL WARNING (V),,,False,1.0,CT0003500,2306071543012799B,4/24/23 10:59,10:59:28 AM,2023,,,Seatbelt,2023
7/20/23 8:46,6565160.0,CT0003500,Darien,Racial Profile,82,2023-008116,CAD Identifier,"Thursday, June 15, 2023",June,W,H,F,61,True,False,DARIEN,POST RD // CENTER ST,  ,  ,V,G,1.0,0,14-299,,False,N,False,False,I,6/15/23 0:00,INFRACTION TICKET (I),,,False,1.0,CT0003500,2307200846333766B,6/15/23 8:07,8:07:20 AM,2023,,,Traffic Control Signal,2023
7/20/23 8:47,6565188.0,CT0003500,Darien,Racial Profile,82,2023-008620,CAD Identifier,"Sunday, June 25, 2023",June,W,H,M,34,True,False,DARIEN,I95 SB // ENT 13,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,6/25/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2307200847021765B,6/25/23 9:31,9:31:57 AM,2023,,,Speed Related,2023
3/22/24 12:22,6838325.0,CT0003500,Darien,Racial Profile,82,2023-009474,CAD Identifier,"Tuesday, July 11, 2023",July,W,N,M,24,False,False,DARIEN,I95 NB // ENT 10,  ,  ,V,G,1.0,0,14-296AA,,False,N,False,False,W,7/11/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2403221222162306B,7/11/23 12:13,12:13:17 PM,2023,,,Cell Phone,2023
3/22/24 12:23,6838373.0,CT0003500,Darien,Racial Profile,82,2023-009826,CAD Identifier,"Monday, July 17, 2023",July,W,N,M,44,True,True,DARIEN,OLD KINGS HWY N // OLD KINGS HWY N,  ,  ,V,G,1.0,0,14-296AA,,False,N,False,False,W,7/17/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2403221223070965B,7/17/23 11:41,11:41:52 AM,2023,,,Cell Phone,2023
3/22/24 12:23,6838383.0,CT0003500,Darien,Racial Profile,82,2023-009888,CAD Identifier,"Tuesday, July 18, 2023",July,W,H,M,34,True,False,DARIEN,PEAR TREE POINT RD // LONG NECK POINT RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,7/18/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2403221223172065B,7/18/23 12:10,12:10:50 PM,2023,,,Speed Related,2023
3/22/24 12:23,6838384.0,CT0003500,Darien,Racial Profile,82,2023-009890,CAD Identifier,"Tuesday, July 18, 2023",July,W,N,F,16,True,True,DARIEN,NEARWATER LN // POST RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,7/18/23 0:00,WRITTEN WARNING (W),,,False,1.0,CT0003500,2403221223182078B,7/18/23 12:37,12:37:32 PM,2023,,,Speed Related,2023
