CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
2/15/22 14:19,5927514.0,CT0002700,Clinton,Racial Profile,116,2200000445,Incident ID,"Wednesday, January 12, 2022",January,W,N,F,61,True,False,CLINTON, GLENWOOD RD/NINETY ROD RD,  ,  ,V,G,1.0,1,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/12/22 7:31,7:31 AM,r9,,,Stop Sign,2022
2/15/22 14:19,5927515.0,CT0002700,Clinton,Racial Profile,116,2200000878,Incident ID,"Sunday, January 23, 2022",January,W,N,F,79,True,False,CLINTON,00002 COMMERCE ST,  ,  ,V,B,1.0,0,14-234,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/23/22 11:27,11:27 AM,r9,,,Moving Violation,2022
3/15/22 14:22,5949048.0,CT0002700,Clinton,Racial Profile,116,2200001299,Incident ID,"Thursday, February 3, 2022",February,W,N,M,48,True,True,CLINTON,00015 NINETY ROD RD,  ,  ,V,G,1.0,0,14-300(c),,False,N,False,False,W,,,,,False,1.0,CT0002700,132918421665516525,2/3/22 7:47,7:47 AM,r9,,,Other,2022
4/15/22 14:20,5990078.0,CT0002700,Clinton,Racial Profile,116,2200003257,Incident ID,"Wednesday, March 23, 2022",March,W,N,F,72,True,False,CLINTON, GLENWOOD RD/LOCHBOURNE DR,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,132945204449636635,3/23/22 8:07,8:07 AM,r9,,,Stop Sign,2022
4/15/22 14:20,5990079.0,CT0002700,Clinton,Racial Profile,116,2200003329,Incident ID,"Friday, March 25, 2022",March,W,N,F,28,True,False,CLINTON, EAST MAIN ST/MORGAN PRK,  ,  ,V,G,2.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132945204449636635,3/25/22 7:48,7:48 AM,r9,,,Speed Related,2022
4/15/22 14:20,5990080.0,CT0002700,Clinton,Racial Profile,116,2200003329,Incident ID,"Friday, March 25, 2022",March,W,N,F,29,True,True,CLINTON,east main  morgan pk,  ,  ,V,G,1.0,0,14-218a,,False,N,False,True,W,,,,,False,1.0,CT0002700,132945204449636635,3/25/22 7:48,7:48 AM,r9,,,Speed Related,2022
6/15/22 14:20,6082146.0,CT0002700,Clinton,Racial Profile,116,2200004745,Incident ID,"Sunday, May 1, 2022",May,W,N,M,31,True,False,CLINTON, GROVE ST/RIVERSIDE DR,  ,  ,V,B,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,132997908228681090,5/1/22 13:29,1:29 PM,r9,14-301,,Stop Sign,2022
7/15/22 14:18,6121429.0,CT0002700,Clinton,Racial Profile,116,2200006665,Incident ID,"Thursday, June 23, 2022",June,W,N,M,44,True,False,CLINTON, EAST MAIN ST/CANTERBURY LN,  ,  ,V,G,1.0,0,14-300(c),,False,N,False,False,W,,,,,False,1.0,CT0002700,133023827031056162,6/23/22 8:40,8:40 AM,r9,,,Other,2022
8/15/22 14:21,6153526.0,CT0002700,Clinton,Racial Profile,116,2200007130,Incident ID,"Wednesday, July 6, 2022",July,W,N,F,33,True,False,CLINTON, GLENWOOD RD/HURD BRIDGE RD,  ,  ,E,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133050613145343520,7/6/22 7:59,7:59 AM,r9,,,Stop Sign,2022
8/15/22 14:21,6153527.0,CT0002700,Clinton,Racial Profile,116,2200007954,Incident ID,"Wednesday, July 27, 2022",July,W,N,M,29,True,False,CLINTON,00117 NOD RD,  ,  ,V,G,1.0,0,14-300(c),,False,N,False,False,W,,,,,False,1.0,CT0002700,133050613145343520,7/27/22 11:35,11:35 AM,r9,,,Other,2022
9/15/22 14:20,6206030.0,CT0002700,Clinton,Racial Profile,116,2200008267,Incident ID,"Thursday, August 4, 2022",August,W,N,F,23,True,False,CLINTON,00115 HIGH ST,  ,  ,V,B,1.0,0,14-299,,False,N,False,False,W,,,,,False,1.0,CT0002700,133077396117311482,8/4/22 12:42,12:42 PM,r9,,,Traffic Control Signal,2022
10/15/22 14:22,6227902.0,CT0002700,Clinton,Racial Profile,116,2200009315,Incident ID,"Thursday, September 1, 2022",September,W,N,F,67,True,True,CLINTON,Glenwood / Hurd Bridge,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,V,,,,,False,1.0,CT0002700,133103317475741814,9/1/22 8:51,8:51 AM,r9,,,Stop Sign,2022
10/15/22 14:22,6227903.0,CT0002700,Clinton,Racial Profile,116,2200009367,Incident ID,"Friday, September 2, 2022",September,W,N,F,62,True,False,CLINTON, GLENWOOD RD/OAK RIDGE DR,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/2/22 7:37,7:37 AM,r9,,,Stop Sign,2022
10/15/22 14:22,6227904.0,CT0002700,Clinton,Racial Profile,116,2200009427,Incident ID,"Sunday, September 4, 2022",September,W,N,M,60,True,False,CLINTON, GLENWOOD RD/FIELDBROOK AVE,  ,  ,V,B,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/4/22 8:41,8:41 AM,r9,,,Stop Sign,2022
10/15/22 14:22,6227905.0,CT0002700,Clinton,Racial Profile,116,2200009635,Incident ID,"Friday, September 9, 2022",September,W,N,F,79,True,False,CLINTON, HIGH ST/NORTH HIGH ST,  ,  ,E,B,2.0,0,14-298,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/9/22 12:11,12:11 PM,r9,,,STC Violation,2022
10/15/22 14:22,6227906.0,CT0002700,Clinton,Racial Profile,116,2200009673,Incident ID,"Saturday, September 10, 2022",September,W,N,M,65,False,False,CLINTON,Central Ave,  ,  ,E,B,1.0,0,14-96e,,False,N,False,False,V,,,,,False,1.0,CT0002700,133103317475741814,9/10/22 15:37,3:37 PM,r9,,,Defective Lights,2022
10/15/22 14:22,6227907.0,CT0002700,Clinton,Racial Profile,116,2200009825,Incident ID,"Wednesday, September 14, 2022",September,W,N,M,40,True,False,CLINTON,00016 NINETY ROD RD,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/14/22 7:34,7:34 AM,r9,,,Stop Sign,2022
10/15/22 14:22,6227908.0,CT0002700,Clinton,Racial Profile,116,2200010046,Incident ID,"Tuesday, September 20, 2022",September,W,N,F,79,True,False,CLINTON,00077 GLENWOOD RD,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/20/22 7:37,7:37 AM,r9,,,Stop Sign,2022
10/15/22 14:22,6227909.0,CT0002700,Clinton,Racial Profile,116,2200010231,Incident ID,"Monday, September 26, 2022",September,W,H,F,28,True,False,CLINTON, NINETY ROD RD/FAIRY DELL RD,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/26/22 7:37,7:37 AM,r9,,,Stop Sign,2022
10/15/22 14:22,6227910.0,CT0002700,Clinton,Racial Profile,116,2200010231,Incident ID,"Monday, September 26, 2022",September,W,H,M,28,True,True,CLINTON,ninety rod road,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133103317475741814,9/26/22 7:37,7:37 AM,r9,,,Stop Sign,2022
11/15/22 14:20,6276999.0,CT0002700,Clinton,Racial Profile,116,2200011233,Incident ID,"Tuesday, October 25, 2022",October,W,H,M,85,True,False,CLINTON,00085 GLENWOOD RD,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133130136587923112,10/25/22 7:44,7:44 AM,r9,,,Stop Sign,2022
11/15/22 14:20,6277000.0,CT0002700,Clinton,Racial Profile,116,2200011352,Incident ID,"Friday, October 28, 2022",October,W,N,M,60,True,False,CLINTON,glenwood  /  hurd bridge,  ,  ,V,B,2.0,0,14-301,,False,N,False,False,V,,,,,False,1.0,CT0002700,133130136587923112,10/28/22 8:05,8:05 AM,r9,,,Stop Sign,2022
12/15/22 14:18,6298187.0,CT0002700,Clinton,Racial Profile,116,2200011697,Incident ID,"Tuesday, November 8, 2022",November,W,N,M,41,True,False,CLINTON, GLENWOOD RD/LOCHBOURNE DR,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133156055679554157,11/8/22 8:14,8:14 AM,r9,,,Stop Sign,2022
12/15/22 14:18,6298188.0,CT0002700,Clinton,Racial Profile,116,2200011700,Incident ID,"Tuesday, November 8, 2022",November,W,N,M,40,True,False,CLINTON,"00143 GLENWOOD RD (CLINTON, T027)",  ,  ,V,G,1.0,0,14-301,,False,N,False,False,I,,,,,False,1.0,CT0002700,133156055679554157,11/8/22 8:28,8:28 AM,r9,,,Stop Sign,2022
12/15/22 14:18,6298189.0,CT0002700,Clinton,Racial Profile,116,2200012130,Incident ID,"Saturday, November 19, 2022",November,W,N,M,51,False,False,CLINTON,00024 WEST MAIN ST,  ,  ,V,B,1.0,0,14-298,,False,N,False,False,W,,,,,False,1.0,CT0002700,133156055679554157,11/19/22 11:20,11:20 AM,r9,,,STC Violation,2022
12/15/22 14:18,6298190.0,CT0002700,Clinton,Racial Profile,116,2200012221,Incident ID,"Monday, November 21, 2022",November,W,N,M,28,True,True,CLINTON,east main st / rt 145,  ,  ,V,B,1.0,0,14-300(c),,False,N,False,False,V,,,,,False,1.0,CT0002700,133156055679554157,11/21/22 9:15,9:15 AM,r9,,,Other,2022
1/15/23 14:22,6331379.0,CT0002700,Clinton,Racial Profile,116,2200012936,Incident ID,"Friday, December 9, 2022",December,W,N,F,54,True,False,CLINTON,East Main Street,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0002700,133182841228527183,12/9/22 7:41,7:41 AM,r9,,,Speed Related,2022
1/15/23 14:22,6331380.0,CT0002700,Clinton,Racial Profile,116,2200012937,Incident ID,"Friday, December 9, 2022",December,W,N,M,65,True,False,CLINTON, WEST MAIN ST/POST OFFICE SQ,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,133182841228527183,12/9/22 7:48,7:48 AM,r9,,,Speed Related,2022
1/15/23 14:22,6331381.0,CT0002700,Clinton,Racial Profile,116,2200013030,Incident ID,"Monday, December 12, 2022",December,W,N,M,30,True,False,CLINTON, EAST MAIN ST/LIBERTY ST,  ,  ,V,G,1.0,0,14-300(c),,False,N,False,False,W,,,,,False,1.0,CT0002700,133182841228527183,12/12/22 7:44,7:44 AM,r9,,,Other,2022
1/15/23 14:22,6331382.0,CT0002700,Clinton,Racial Profile,116,2200013032,Incident ID,"Monday, December 12, 2022",December,W,H,M,25,True,False,CLINTON, EAST MAIN ST/POST OFFICE SQ,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,133182841228527183,12/12/22 7:56,7:56 AM,r9,,,Speed Related,2022
1/15/23 14:22,6331383.0,CT0002700,Clinton,Racial Profile,116,2200013033,Incident ID,"Monday, December 12, 2022",December,W,N,M,20,True,False,CLINTON, CEMETERY RD/EAST MAIN ST,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,133182841228527183,12/12/22 8:10,8:10 AM,r9,,,Speed Related,2022
1/15/23 14:22,6331384.0,CT0002700,Clinton,Racial Profile,116,2200013089,Incident ID,"Tuesday, December 13, 2022",December,W,N,M,64,True,True,CLINTON,east main/ canterberry ln,  ,  ,E,G,2.0,1,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0002700,133182841228527183,12/13/22 7:59,7:59 AM,r9,,,Speed Related,2022
1/15/23 14:22,6331385.0,CT0002700,Clinton,Racial Profile,116,2200013091,Incident ID,"Tuesday, December 13, 2022",December,W,N,F,37,True,False,CLINTON," EAST MAIN ST/COLLEGE ST (CLINTON, T027)",  ,  ,V,G,2.0,0,14-36(a),,False,N,False,False,I,,,,,False,1.0,CT0002700,133182841228527183,12/13/22 8:08,8:08 AM,r9,,,Unlicensed Operation,2022
9/15/22 14:20,6206031.0,CT0002700,Clinton,Racial Profile,119,2200009024,Incident ID,"Wednesday, August 24, 2022",August,W,N,F,36,True,False,CLINTON,Route 81/North High Street,  ,  ,V,G,1.0,0,14-241,,False,N,False,False,W,,,,,False,1.0,CT0002700,133077396117311482,8/24/22 15:49,3:49 PM,r9,,,Moving Violation,2022
10/15/22 14:22,6227911.0,CT0002700,Clinton,Racial Profile,119,2200009774,Incident ID,"Tuesday, September 13, 2022",September,W,N,F,54,True,True,CLINTON,Long Hill Road,  ,  ,V,G,1.0,0,14-234,,False,N,False,False,V,,,,,False,1.0,CT0002700,133103317475741814,9/13/22 7:53,7:53 AM,r9,,,Moving Violation,2022
6/15/22 14:20,6082147.0,CT0002700,Clinton,Racial Profile,136,2200005381,Incident ID,"Tuesday, May 17, 2022",May,W,N,M,79,True,False,CLINTON,North High Street @ RT81,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,132997908228681090,5/17/22 16:34,4:34 PM,r9,14-301,,Stop Sign,2022
9/15/22 14:20,6206032.0,CT0002700,Clinton,Racial Profile,136,2200008224,Incident ID,"Wednesday, August 3, 2022",August,W,N,M,81,True,True,CLINTON,Hurd Bridge Road,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,N,,,,,False,1.0,CT0002700,133077396117311482,8/3/22 13:25,1:25 PM,r9,,,Speed Related,2022
12/15/22 14:18,6298191.0,CT0002700,Clinton,Racial Profile,136,2200012491,Incident ID,"Tuesday, November 29, 2022",November,W,N,M,21,True,True,CLINTON,Glenwood Rd & Ninety Rod,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0002700,133156055679554157,11/29/22 12:57,12:57 PM,r9,,,Stop Sign,2022
2/15/22 14:19,5927516.0,CT0002700,Clinton,Racial Profile,143,2200000061,Incident ID,"Monday, January 3, 2022",January,W,N,F,19,True,False,CLINTON,00108 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/3/22 7:53,7:53 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927517.0,CT0002700,Clinton,Racial Profile,143,2200000062,Incident ID,"Monday, January 3, 2022",January,W,N,F,35,True,False,CLINTON,00108 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/3/22 8:04,8:04 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927518.0,CT0002700,Clinton,Racial Profile,143,2200000063,Incident ID,"Monday, January 3, 2022",January,W,N,F,16,True,False,CLINTON,00102 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/3/22 8:13,8:13 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927519.0,CT0002700,Clinton,Racial Profile,143,2200000065,Incident ID,"Monday, January 3, 2022",January,W,N,F,33,True,False,CLINTON,00099 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/3/22 8:35,8:35 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927520.0,CT0002700,Clinton,Racial Profile,143,2200000507,Incident ID,"Thursday, January 13, 2022",January,W,N,F,41,True,False,CLINTON, KILLINGWORTH TPK/EXIT 63 I 95 S ,  ,  ,V,G,1.0,0,14-298,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/13/22 17:12,5:12 PM,r9,14-298,,STC Violation,2022
2/15/22 14:19,5927521.0,CT0002700,Clinton,Racial Profile,143,2200000524,Incident ID,"Friday, January 14, 2022",January,A,N,F,25,True,False,CLINTON,00143 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/14/22 7:33,7:33 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927522.0,CT0002700,Clinton,Racial Profile,143,2200000525,Incident ID,"Friday, January 14, 2022",January,W,N,F,39,True,False,CLINTON,00108 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/14/22 8:12,8:12 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927523.0,CT0002700,Clinton,Racial Profile,143,2200000528,Incident ID,"Friday, January 14, 2022",January,W,H,M,44,True,False,CLINTON,00106 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/14/22 8:21,8:21 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927524.0,CT0002700,Clinton,Racial Profile,143,2200000529,Incident ID,"Friday, January 14, 2022",January,W,N,F,69,True,False,CLINTON,00106 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/14/22 8:29,8:29 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927525.0,CT0002700,Clinton,Racial Profile,143,2200000531,Incident ID,"Friday, January 14, 2022",January,B,N,M,41,True,False,CLINTON,Glenwood Road and Oak Ridge,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,V,,,,,False,1.0,CT0002700,132894263448467942,1/14/22 8:52,8:52 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927526.0,CT0002700,Clinton,Racial Profile,143,2200000532,Incident ID,"Friday, January 14, 2022",January,W,N,M,35,True,False,CLINTON,"00011 KILLINGWORTH TPK (CLINTON, T027)",  ,  ,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CT0002700,132894263448467942,1/14/22 9:02,9:02 AM,r9,14-298,,STC Violation,2022
2/15/22 14:19,5927527.0,CT0002700,Clinton,Racial Profile,143,2200000744,Incident ID,"Wednesday, January 19, 2022",January,W,N,F,44,True,False,CLINTON, EAST MAIN ST/WATERSIDE LN,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/19/22 18:32,6:32 PM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927528.0,CT0002700,Clinton,Racial Profile,143,2200000995,Incident ID,"Wednesday, January 26, 2022",January,W,N,F,47,True,False,CLINTON,00153 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/26/22 7:44,7:44 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927529.0,CT0002700,Clinton,Racial Profile,143,2200000996,Incident ID,"Wednesday, January 26, 2022",January,W,N,M,34,True,False,CLINTON,00135 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/26/22 7:56,7:56 AM,r9,14-218a,,Speed Related,2022
2/15/22 14:19,5927530.0,CT0002700,Clinton,Racial Profile,143,2200000998,Incident ID,"Wednesday, January 26, 2022",January,W,N,M,29,False,False,CLINTON, GLENWOOD RD/WOODS LN,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132894263448467942,1/26/22 8:09,8:09 AM,r9,14-218a,,Speed Related,2022
3/15/22 14:22,5949049.0,CT0002700,Clinton,Racial Profile,143,2200001214,Incident ID,"Tuesday, February 1, 2022",February,W,N,F,32,True,False,CLINTON,00106 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132918421665516525,2/1/22 8:13,8:13 AM,r9,14-218a,,Speed Related,2022
3/15/22 14:22,5949050.0,CT0002700,Clinton,Racial Profile,143,2200001216,Incident ID,"Tuesday, February 1, 2022",February,W,N,F,73,True,False,CLINTON,00102 GLENWOOD RD,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0002700,132918421665516525,2/1/22 8:35,8:35 AM,r9,14-218a,,Speed Related,2022
