CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year
02/10/15 00:15,1178578.0,CT0008500,Monroe,Racial Profile,1000106,1500000004,Incident ID,2015-01-01 00:00:00-05:00,January,B,N,M,27.0,True,False,MONROE              ,590 RT 25,  ,  ,V,B,1.0,0,14-12(a)*,,False,N,False,False,I,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 01:44:00-05:00,01:44,r2,14-12(a)*,,Registration,2015
02/10/15 00:15,1178655.0,CT0008500,Monroe,Racial Profile,1000116,1500000067,Incident ID,2015-01-01 00:00:00-05:00,January,B,N,M,23.0,True,False,MONROE              ,545 Pepper St,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 18:11:00-05:00,18:11,r2,14-218a,,Speed Related,2015
02/10/15 00:15,1178829.0,CT0008500,Monroe,Racial Profile,1000118,1500000040,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,F,50.0,True,False,MONROE              ,Elm Street/Lovers Lane,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 11:29:00-05:00,11:29,r2,14-218a,,Speed Related,2015
02/10/15 00:15,1178831.0,CT0008500,Monroe,Racial Profile,1000118,1500000042,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,M,24.0,True,False,Monroe              ,Elm Street/Lovers Lane,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 11:43:00-05:00,11:43,r2,14-218a,,Speed Related,2015
02/10/15 00:15,1178833.0,CT0008500,Monroe,Racial Profile,1000118,1500000058,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,M,41.0,False,False,MONROE              ,Elm Street/Lovers Lane,  ,  ,V,B,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 14:22:00-05:00,14:22,r2,14-218a,,Speed Related,2015
02/10/15 00:15,1178180.0,CT0008500,Monroe,Racial Profile,12,1500000031,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,M,33.0,True,False,MONROE              ,E Village @ Webb,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,I,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 09:39:00-05:00,09:39,r2,14-301,,Stop Sign,2015
02/10/15 00:15,1178182.0,CT0008500,Monroe,Racial Profile,12,1500000032,Incident ID,2015-01-01 00:00:00-05:00,January,W,H,M,40.0,True,False,MONROE              ,E Village @ Webb,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 09:51:00-05:00,09:51,r2,14-301,,Stop Sign,2015
02/10/15 00:15,1178184.0,CT0008500,Monroe,Racial Profile,12,1500000034,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,M,41.0,True,False,MONROE              ,E Village @ Webb,  ,  ,V,G,1.0,0,14-301,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 10:04:00-05:00,10:04,r2,14-301,,Stop Sign,2015
02/10/15 00:15,1178186.0,CT0008500,Monroe,Racial Profile,12,1500000043,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,F,40.0,True,False,MONROE              ,Purdy Hill,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 11:46:00-05:00,11:46,r2,14-218a,,Speed Related,2015
02/10/15 00:15,1178187.0,CT0008500,Monroe,Racial Profile,12,1500000049,Incident ID,2015-01-01 00:00:00-05:00,January,W,N,F,44.0,True,True,MONROE              ,Purdy Hill ,  ,  ,V,G,1.0,0,14-218a,,False,N,False,False,W,,,,,False,1.0,CT0008500,130680189014645658,2015-01-01 11:57:00-05:00,11:57,r2,14-218a,,Speed Related,2015
